,gtrend,ILI
2014-04-20,17,2.87107
2014-04-27,23,2.188
2014-05-04,13,2.03609
2014-05-11,10,2.38206
2014-05-18,17,2.30849
2014-05-25,13,2.03737
2014-06-01,8,2.6713299999999998
2014-06-08,9,2.3233599999999996
2014-06-15,7,2.2069400000000003
2014-06-22,4,1.94622
2014-06-29,3,1.78492
2014-07-06,5,1.37905
2014-07-13,5,1.2843799999999999
2014-07-20,11,1.06916
2014-07-27,9,1.2407299999999999
2014-08-03,3,1.08446
2014-08-10,5,1.25285
2014-08-17,16,0.8838379999999999
2014-08-24,7,0.990574
2014-08-31,8,1.24827
2014-09-07,16,1.12265
2014-09-14,13,1.29467
2014-09-21,18,1.74856
2014-09-28,22,1.7381400000000002
2014-10-05,25,1.4055
2014-10-12,25,2.17104
2014-10-19,24,1.60945
2014-10-26,18,1.8615099999999998
2014-11-02,27,1.57613
2014-11-09,19,1.6093899999999999
2014-11-16,15,1.7626700000000002
2014-11-23,13,2.1392900000000004
2014-11-30,24,1.9280400000000002
2014-12-07,31,2.0331
2014-12-14,24,2.25696
2014-12-21,29,3.31837
2014-12-28,41,4.33593
2015-01-04,35,3.75445
2015-01-11,38,3.62311
2015-01-18,40,3.3428699999999996
2015-01-25,30,4.97434
2015-02-01,19,4.80625
2015-02-08,21,3.53148
2015-02-15,20,3.8961
2015-02-22,16,3.03839
2015-03-01,11,4.0146
2015-03-08,23,2.53917
2015-03-15,16,2.24284
2015-03-22,14,2.88725
2015-03-29,18,2.44113
2015-04-05,13,1.87555
2015-04-12,10,1.57618
2015-04-19,18,1.60819
2015-04-26,13,1.8738
2015-05-03,9,1.6005
2015-05-10,5,1.60158
2015-05-17,9,1.35915
2015-05-24,8,1.26336
2015-05-31,14,1.46145
2015-06-07,16,1.2060799999999998
2015-06-14,10,1.62835
2015-06-21,8,1.60348
2015-06-28,8,1.56856
2015-07-05,6,1.21354
2015-07-12,4,1.50991
2015-07-19,13,1.3603299999999998
2015-07-26,9,1.16115
2015-08-02,5,1.15761
2015-08-09,8,1.50245
2015-08-16,10,1.19066
2015-08-23,4,1.17442
2015-08-30,8,0.5553739999999999
2015-09-06,14,0.867137
2015-09-13,18,1.28706
2015-09-20,10,0.959693
2015-09-27,13,1.91625
2015-10-04,17,1.4460899999999999
2015-10-11,23,0.896943
2015-10-18,12,0.608305
2015-10-25,19,0.605908
2015-11-01,16,0.426487
2015-11-08,15,0.744961
2015-11-15,18,0.430005
2015-11-22,12,0.652884
2015-11-29,14,0.6720430000000001
2015-12-06,14,0.987224
2015-12-13,17,1.06728
2015-12-20,13,1.0995700000000002
2015-12-27,14,1.17736
2016-01-03,13,1.40393
2016-01-10,14,1.54976
2016-01-17,11,1.3430000000000002
2016-01-24,10,1.58053
2016-01-31,11,1.85906
2016-02-07,11,1.69208
2016-02-14,21,2.60692
2016-02-21,29,3.01218
2016-02-28,31,2.58117
2016-03-06,30,3.7633300000000003
2016-03-13,14,4.47187
2016-03-20,16,4.860930000000001
2016-03-27,23,3.9079
2016-04-03,23,2.88483
2016-04-10,15,2.3450599999999997
2016-04-17,15,3.02083
2016-04-24,15,2.98913
2016-05-01,17,1.87012
2016-05-08,20,1.58913
2016-05-15,10,1.56684
2016-05-22,14,1.6298
2016-05-29,5,1.23648
2016-06-05,11,1.03712
2016-06-12,4,1.1911200000000002
2016-06-19,8,0.944625
2016-06-26,6,0.9945459999999999
2016-07-03,9,0.770003
2016-07-10,10,0.5809449999999999
2016-07-17,8,0.45133999999999996
2016-07-24,3,0.34120700000000004
2016-07-31,8,0.49079799999999996
2016-08-07,8,0.29633000000000004
2016-08-14,8,0.307152
2016-08-21,6,0.33003299999999997
2016-08-28,8,0.265565
2016-09-04,5,0.147275
2016-09-11,14,0.522648
2016-09-18,11,0.452899
2016-09-25,13,0.8759469999999999
2016-10-02,15,0.906056
2016-10-09,15,2.3542099999999997
2016-10-16,9,2.4617
2016-10-23,17,2.53861
2016-10-30,15,2.65366
2016-11-06,13,2.76608
2016-11-13,13,2.6012
2016-11-20,9,2.72173
2016-11-27,15,3.3124300000000004
2016-12-04,9,2.95628
2016-12-11,11,3.02365
2016-12-18,9,3.6720099999999998
2016-12-25,12,4.21506
2017-01-01,23,5.77482
2017-01-08,21,5.511080000000001
2017-01-15,24,5.12789
2017-01-22,19,5.9981
2017-01-29,33,6.19741
2017-02-05,23,6.761019999999999
2017-02-12,28,6.926019999999999
2017-02-19,31,5.55885
2017-02-26,14,4.8848
2017-03-05,21,4.051019999999999
2017-03-12,18,3.8477
2017-03-19,21,3.3787800000000003
2017-03-26,21,3.26398
2017-04-02,15,3.9858599999999997
2017-04-09,11,3.52109
2017-04-16,17,3.0516
2017-04-23,8,2.30231
2017-04-30,7,2.2187900000000003
2017-05-07,10,1.95592
2017-05-14,10,2.13332
2017-05-21,7,2.0430099999999998
2017-05-28,7,1.73812
2017-06-04,9,1.9050099999999999
2017-06-11,10,2.00848
2017-06-18,5,1.90245
2017-06-25,8,1.75321
2017-07-02,6,1.57045
2017-07-09,5,1.43214
2017-07-16,4,1.30126
2017-07-23,7,1.42068
2017-07-30,8,1.38269
2017-08-06,7,1.3406200000000001
2017-08-13,12,1.20045
2017-08-20,6,1.1950399999999999
2017-08-27,14,1.38372
2017-09-03,10,1.07206
2017-09-10,9,1.2488
2017-09-17,12,1.58925
2017-09-24,24,1.7743799999999998
2017-10-01,16,2.00296
2017-10-08,14,1.8328
2017-10-15,21,1.8675
2017-10-22,18,2.07137
2017-10-29,15,2.0493200000000003
2017-11-05,12,2.28275
2017-11-12,15,2.42165
2017-11-19,15,2.4597
2017-11-26,18,2.82179
2017-12-03,17,2.77809
2017-12-10,12,2.80816
2017-12-17,11,3.2248
2017-12-24,20,3.5274
2017-12-31,25,4.65945
2018-01-07,45,4.88305
2018-01-14,57,4.48405
2018-01-21,60,6.26791
2018-01-28,100,8.34567
2018-02-04,96,10.0087
2018-02-11,99,10.7946
2018-02-18,61,11.1524
2018-02-25,32,8.32214
2018-03-04,28,5.0826199999999995
2018-03-11,21,4.3754800000000005
2018-03-18,15,3.75679
2018-03-25,28,3.2629
2018-04-01,18,3.22253
2018-04-08,19,2.86843
2018-04-15,15,2.4294599999999997
2018-04-22,18,2.13059
2018-04-29,10,2.2319400000000003
2018-05-06,3,1.82601
2018-05-13,13,1.86923
2018-05-20,7,1.74853
2018-05-27,9,1.8176900000000002
2018-06-03,5,1.68757
2018-06-10,11,1.8359999999999999
2018-06-17,11,1.76026
2018-06-24,8,1.6755
2018-07-01,5,1.39117
2018-07-08,8,1.44997
2018-07-15,8,1.29799
2018-07-22,7,1.24432
2018-07-29,7,1.13838
2018-08-05,12,1.11922
2018-08-12,4,1.20482
2018-08-19,7,1.3476299999999999
2018-08-26,12,1.53041
2018-09-02,17,1.40639
2018-09-09,13,1.5068700000000002
2018-09-16,11,1.8064
2018-09-23,16,2.3076
2018-09-30,13,2.63835
2018-10-07,17,2.70526
2018-10-14,15,2.60627
2018-10-21,17,2.69214
2018-10-28,18,2.9887099999999998
2018-11-04,17,2.97478
2018-11-11,19,2.92529
2018-11-18,11,3.23105
2018-11-25,24,3.42996
2018-12-02,22,3.30683
2018-12-09,18,3.56914
2018-12-16,24,4.113659999999999
2018-12-23,27,4.79964
2018-12-30,26,6.4099
